"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11"
"249",1,1,1,1,1,1,1,1,1,1,1
"250",3,3,3,3,3,3,3,3,3,3,3
"251",21,21,21,21,21,21,21,21,21,21,21
"252",1,1,1,1,1,1,1,1,1,1,1
"253",33,33,33,33,33,34,34,33,33,33,34
"254",24,24,24,24,24,24,24,24,24,24,24
"255",51,51,51,51,51,50,50,51,51,51,50
"256",1,1,1,1,1,1,1,1,1,1,1
"257",15,15,15,15,15,15,15,15,15,15,15
"258",1,1,1,1,1,1,1,1,1,1,1
